PTTAX,VTSMX,AGTHX,VFINX,VBMFX
9.760136,49.43797,36.743023,181.637801,10.326522
9.778362,48.565253,36.096897,178.327461,10.354944
9.796588,48.095331,35.65753,176.739263,10.392839
9.805702,48.670747,36.036592,178.853673,10.392839
9.796588,49.524283,36.62241,182.049193,10.364417
9.805702,49.121492,36.372577,180.518398,10.392839
9.814815,48.747471,36.062436,179.054581,10.411787
9.805702,48.651566,36.036592,178.614487,10.411787
9.833041,48.383039,35.890136,177.581202,10.430735
9.88772,47.893932,35.614456,175.945164,10.478104
9.86038,48.546072,36.114124,178.308322,10.430735
9.896832,48.584434,36.200277,178.585786,10.449682
9.86038,48.80501,36.467343,179.446849,10.421261
9.869493,49.572233,36.984242,182.192699,10.411787
9.915059,49.332476,36.958398,181.18813,10.449682
9.905946,49.543464,37.096238,181.656925,10.440209
9.915059,48.958455,36.743023,179.226802,10.440209
9.942398,48.287134,36.20889,176.815804,10.487578
9.924172,48.747471,36.510417,178.518807,10.46863
9.967947,48.095331,36.3295,176.203489,10.536023
9.949707,48.670747,36.691332,178.490106,10.526531
9.913228,49.399608,37.104852,181.063748,10.479072
9.931468,49.207805,36.923938,180.36533,10.488564
9.894989,49.754451,37.277153,182.259678,10.469579
9.867629,49.601007,37.096238,181.685626,10.403136
9.84939,49.370838,36.906707,180.920243,10.403136
9.83115,49.869534,37.268536,182.852855,10.384152
9.83115,49.888715,37.294383,182.910257,10.384152
9.822031,50.387411,37.673443,184.718516,10.384152
9.81291,50.617576,37.95774,185.493477,10.365169
9.767311,50.6943,37.95774,185.809204,10.327201
9.79467,50.723069,38.000814,185.761364,10.355677
9.79467,50.684707,38.09558,185.598719,10.336693
9.78555,50.991597,38.379873,186.756371,10.336693
9.822031,50.972419,38.310955,186.698968,10.365169
9.867629,51.09709,38.414334,187.215604,10.403136
9.876749,51.087502,38.500483,187.100799,10.412629
9.85851,51.029959,38.491869,186.861613,10.374661
9.894106,50.866925,38.336799,186.3067,10.422207
9.848469,51.183403,38.64694,187.45479,10.37466
9.839341,50.962827,38.5091,186.603288,10.365151
9.848469,50.751839,38.38849,185.828328,10.365151
9.848469,50.828563,38.578018,186.057952,10.365151
9.793704,50.128472,38.069732,183.436469,10.308096
9.802832,50.320279,38.11281,184.182728,10.327114
9.830215,49.514694,37.475298,181.063748,10.355642
9.848469,49.495513,37.475298,180.748021,10.365151
9.830215,50.138061,37.862974,183.072916,10.365151
9.830215,49.850353,37.673443,181.96309,10.355642
9.839341,50.483312,38.207572,184.421914,10.37466
9.848469,50.36823,38.198959,183.809598,10.37466
9.903234,50.962827,38.681401,186.04839,10.441225
9.903234,50.761432,38.621096,185.149048,10.422207
9.921488,51.212177,38.888159,186.816088,10.441225
9.903234,51.116271,38.707245,186.489206,10.450735
9.930616,50.838864,38.534944,185.364389,10.469754
9.903234,50.049022,37.906048,182.672512,10.441225
9.875851,49.943067,37.794052,182.239892,10.403188
9.884979,50.106816,38.000814,182.701352,10.431717
9.894106,50.732909,38.37126,184.951001,10.431717
9.921513,50.337988,38.009428,183.345492,10.464118
9.958057,50.154977,37.845743,182.643671,10.50224
9.930649,50.337988,37.992197,183.287797,10.483179
9.930649,50.665483,38.216189,184.499149,10.483179
9.958057,50.530633,38.216189,184.12421,10.492709
9.948922,50.713647,38.466025,184.681815,10.492709
9.930649,50.896658,38.638323,185.508605,10.454589
9.939786,51.137464,38.767549,186.469989,10.464118
9.948922,50.935188,38.629709,185.633575,10.473649
9.948922,51.002613,38.66417,185.931602,10.492709
9.958057,51.281949,38.862315,186.892985,10.492709
9.948922,51.243419,38.982925,186.748784,10.492709
9.958057,50.636588,38.500483,184.633743,10.50224
9.948922,51.089304,38.810624,186.345004,10.483179
9.930649,51.041143,38.931233,186.066195,10.473649
9.894106,51.272314,39.094921,187.01797,10.435528
9.894106,51.416799,39.224144,187.47943,10.454589
9.912378,51.47459,39.465366,187.902441,10.473649
9.912378,51.204889,39.232761,187.123723,10.464118
9.866699,51.330109,39.18107,187.662095,10.435528
9.839292,51.118199,39.034616,186.969898,10.406938
9.860349,50.549898,38.621096,185.085594,10.426033
9.832883,51.070039,39.008769,187.104491,10.387843
9.805417,51.224154,39.07769,187.652487,10.368747
9.796261,50.598058,38.569405,185.45091,10.3592
9.750484,50.443943,38.483252,184.691423,10.330557
9.768795,50.655853,38.655553,185.431693,10.349652
9.787105,51.291579,39.146609,187.931282,10.368747
9.750484,51.079669,38.965694,187.008362,10.311462
9.732174,50.944819,38.896776,186.479598,10.311462
9.704708,50.935188,38.870929,186.450757,10.301914
9.704708,51.47459,39.232761,188.479277,10.32101
9.750484,51.522754,39.284449,188.642711,10.368747
9.723018,51.734661,39.422289,189.229156,10.330557
9.704708,51.696131,39.31891,189.142634,10.292366
9.723018,51.667235,39.293066,188.98881,10.301914
9.741329,51.77319,39.465366,189.459893,10.340104
9.768795,51.667235,39.422289,189.036882,10.32101
9.796261,51.147094,39.000155,187.094883,10.3592
9.796261,51.619075,39.405062,188.834985,10.3592
9.796261,51.56128,39.310296,188.623479,10.3592
9.820123,51.25305,39.172456,187.440981,10.379289
9.820123,51.359005,39.232761,187.844761,10.35059
9.755879,51.330109,39.249991,187.662095,10.312325
9.700813,51.493855,39.249991,188.094715,10.264494
9.728346,51.041143,39.069073,186.479598,10.293193
9.719168,51.041143,39.103534,186.210411,10.245362
9.700813,50.704013,38.776163,185.037522,10.254929
9.682458,50.704013,38.810624,185.114434,10.235796
9.654925,51.310844,39.301679,187.35446,10.207098
9.700813,51.42643,39.344754,187.739008,10.254929
9.700813,51.098934,39.112151,186.441134,10.245362
9.70999,50.867763,38.991538,185.575895,10.254929
9.728346,51.156729,39.137995,186.633422,10.274061
9.719168,51.243419,39.189686,187.008362,10.274061
9.70999,51.76356,39.603207,188.883057,10.264494
9.728346,51.522754,39.439519,187.878831,10.293193
9.682458,51.821351,39.680742,189.018245,10.245362
9.691636,51.879145,39.775504,189.153429,10.22623
9.70999,51.46496,39.430906,187.772614,10.245362
9.700813,51.323764,39.361984,187.222209,10.22623
9.682458,51.294752,39.206914,187.183591,10.197531
9.719168,50.211602,38.354029,183.311483,10.264494
9.730204,50.376011,38.534944,183.813605,10.275038
9.711811,50.69515,38.698628,185.136486,10.236698
9.730204,50.656469,38.690014,185.078552,10.255868
9.748598,50.472719,38.466025,184.363995,10.294207
9.748598,50.753177,38.578018,185.484107,10.313378
9.766991,49.921475,37.854357,182.452091,10.342132
9.739401,50.037529,38.086963,182.867311,10.284622
9.730204,50.656469,38.560788,185.117185,10.246283
9.730204,51.207713,39.000155,187.183591,10.227113
9.739401,51.449487,39.293066,188.014016,10.246283
9.757794,51.362449,39.189686,187.878831,10.265453
9.785385,51.749285,39.517054,189.385181,10.275038
9.785385,51.749285,39.689355,189.597617,10.275038
9.785385,51.749285,39.637664,189.742452,10.255868
9.785385,51.517184,39.551515,188.940994,10.275038
9.785385,51.439814,39.439519,188.506472,10.284622
9.794581,51.140017,39.267222,187.45396,10.303793
9.794581,50.5791,38.965694,185.445489,10.303793
9.785385,50.250287,38.64694,184.373661,10.322963
9.776188,50.859558,39.146609,186.652502,10.303793
9.776188,51.227056,39.310296,188.042983,10.294207
9.794581,51.256068,39.439519,188.062285,10.303793
9.845331,51.19804,39.439519,187.637429,10.353736
9.845331,51.033636,39.361984,187.115991,10.372946
9.81765,50.927255,39.361984,186.700785,10.334527
9.808423,51.111002,39.525671,187.357393,10.315318
9.81765,50.685481,39.086304,185.957261,10.334527
9.826876,50.530746,38.93985,185.426172,10.353736
9.808423,51.178698,39.45675,187.801581,10.324923
9.826876,50.704823,39.18107,186.044163,10.372946
9.808423,50.743508,39.1983,186.266249,10.363341
9.799195,50.685481,39.137995,186.053813,10.334527
9.789968,50.898243,39.189686,186.778021,10.334527
9.799195,51.217383,39.45675,187.782264,10.344132
9.789968,51.052978,39.327526,187.328426,10.324923
9.808423,50.617785,39.017386,185.793109,10.363341
9.81765,49.515296,38.043888,181.872733,10.372946
9.799195,48.064653,36.906707,176.108038,10.392154
9.75306,46.169146,35.51969,169.165296,10.392154
9.743833,45.59856,35.407694,166.886455,10.353736
9.716151,47.261962,36.691332,173.413976,10.315318
9.743833,48.403135,37.570063,177.643355,10.315318
9.75306,48.499846,37.656212,177.77854,10.315318
9.761388,48.122676,37.311614,176.301157,10.317243
9.752135,46.73006,36.303656,171.096517,10.346116
9.73363,47.561763,36.949782,174.254067,10.326867
9.752135,47.629459,36.932551,174.466488,10.346116
9.742882,46.952491,36.475957,171.801409,10.365365
9.724378,48.113007,37.346071,176.127339,10.326867
9.73363,47.474724,36.975626,173.694011,10.336492
9.73363,47.697155,37.199618,174.630655,10.326867
9.73363,47.92926,37.337458,175.46108,10.336492
9.742882,47.73584,37.139313,174.756174,10.336492
9.705872,48.335438,37.535603,176.996397,10.28837
9.705872,48.75129,37.845743,178.541365,10.28837
9.752135,48.683593,37.931892,178.116509,10.336492
9.761388,47.919587,37.346071,175.225669,10.374989
9.73363,48.083995,37.311614,176.021392,10.336492
9.73363,47.465054,36.811942,173.857397,10.365365
9.724378,47.358673,36.656871,173.508051,10.355741
9.715125,47.176958,36.450113,172.925804,10.365365
9.69662,47.079788,36.226121,172.838471,10.346116
9.678115,45.835985,35.175091,168.452246,10.374989
9.678115,45.845704,35.166475,168.675449,10.384613
9.712438,46.700818,35.95044,171.897179,10.39522
9.740267,46.768838,36.07105,172.246525,10.404864
9.768096,47.458757,36.682718,174.730754,10.433793
9.777373,48.343022,37.234078,177.933087,10.404864
9.78665,48.148677,36.975626,177.292617,10.414507
9.777373,48.595667,37.320227,178.787046,10.404864
9.777373,49.023226,37.544219,180.359094,10.385578
9.768096,49.071811,37.647599,180.49495,10.385578
9.795926,49.11068,37.707903,180.727852,10.414507
9.768096,48.731711,37.423607,179.505135,10.414507
9.768096,48.488781,37.328844,178.670588,10.453079
9.768096,49.237001,37.940509,181.339196,10.433793
9.777373,49.42163,38.035275,182.164044,10.42415
9.777373,49.441065,38.069732,182.212567,10.42415
9.768096,49.373045,37.888818,181.950554,10.404864
9.78665,49.013506,37.595907,180.912216,10.42415
9.814479,49.752015,38.061119,183.93017,10.433793
9.795926,50.257309,38.707245,185.968022,10.414507
9.795926,50.15042,38.724475,185.599264,10.42415
9.795926,49.965791,38.638323,185.133475,10.433793
9.777373,50.655714,39.069073,187.336294,10.404864
9.749544,50.577975,38.982925,187.278072,10.366291
9.783022,50.364199,38.92262,186.375589,10.396244
9.783022,51.015249,39.361984,188.578408,10.386581
9.773722,51.151289,39.465366,189.102419,10.367257
9.755123,51.005533,39.422289,188.491076,10.357596
9.745823,50.956944,39.387831,188.316395,10.357596
9.727225,50.966664,39.465366,188.267872,10.309286
9.708625,50.471085,39.163839,186.462922,10.299624
9.708625,50.568259,39.189686,186.79287,10.309286
9.699327,50.364199,39.034616,186.181512,10.299624
9.699327,49.62569,38.560788,183.60995,10.309286
9.708625,49.11068,38.147268,181.552685,10.328609
9.717925,49.8006,38.655553,184.289229,10.328609
9.727225,49.73258,38.707245,184.085438,10.328609
9.727225,50.548824,39.35337,187.083979,10.328609
9.727225,50.471085,39.21553,186.889902,10.347934
9.727225,50.675149,39.396445,187.627417,10.338272
9.736524,50.655714,39.422289,187.394515,10.338272
9.736524,50.762604,39.45675,187.627417,10.338272
9.736524,50.811189,39.525671,187.627417,10.338272
9.736524,50.86949,39.542902,187.772972,10.347934
9.768215,50.636279,39.33614,186.909314,10.368264
9.805499,51.141573,39.766891,188.91804,10.406987
9.796178,50.597409,39.430906,186.889902,10.397306
9.740252,49.849185,38.982925,184.211595,10.32954
9.768215,50.782035,39.585976,187.986462,10.348901
9.777536,50.364199,39.241374,186.686125,10.368264
9.777536,50.053245,39.137995,185.48282,10.368264
9.758894,49.654841,38.793393,184.056327,10.368264
9.768215,49.781165,38.931233,184.493005,10.358583
9.786857,48.809446,38.130037,180.941342,10.397306
9.730931,48.945486,38.25065,181.814698,10.348901
9.730931,49.48965,38.66417,183.745806,10.319859
9.731897,50.21844,39.137995,186.424112,10.310178
9.760861,49.48965,38.603865,183.648759,10.339221
9.770515,48.657368,38.052502,180.362347,10.348901
9.770515,49.028571,38.310955,181.786986,10.348901
9.751207,49.458392,38.605753,183.406777,10.326621
9.741552,50.093348,39.028239,185.699841,10.316933
9.751207,50.034739,39.009461,185.397353,10.326621
9.751207,49.897979,38.953132,184.997281,10.326621
9.722242,50.425481,39.385005,186.997624,10.287872
9.712588,50.064044,39.075181,185.660816,10.287872
9.75035,49.604919,38.76536,183.91417,10.328643
9.779398,48.833203,38.03305,181.142971,10.348057
9.769715,48.92112,38.004886,181.504003,10.33835
9.779398,48.276389,37.51668,179.19142,10.377179
9.769715,47.09439,36.54966,174.94679,10.386887
9.769715,46.557118,36.192894,173.053798,10.406302
9.721302,46.547351,36.127174,173.190406,10.377179
9.740668,46.859946,36.380666,174.546733,10.406302
9.769715,45.648639,35.291593,170.20452,10.425716
9.740668,46.371516,35.798576,173.053798,10.406302
9.740668,45.404424,34.906662,169.316576,10.425716
9.730985,45.326277,34.887885,169.404392,10.416009
9.730985,44.876919,34.709503,167.452841,10.425716
9.730985,45.072292,34.887885,168.321281,10.416009
9.740668,46.019846,35.601413,171.736495,10.406302
9.75035,45.248127,35.066266,169.053112,10.416009
9.75035,45.941696,35.451197,171.443759,10.416009
9.769715,45.423962,35.009937,169.589792,10.416009
9.779398,45.609564,35.23526,170.536295,10.425716
9.846333,46.791566,35.854905,174.761405,10.476299
9.817231,46.772029,35.901851,174.693094,10.456844
9.826932,45.863549,35.131986,171.42424,10.505481
9.80753,46.097993,35.197709,172.341471,10.486026
9.817231,46.224986,35.319757,172.634207,10.495753
9.80753,45.287202,34.315182,169.453184,10.495753
9.79783,44.574095,33.667373,167.072289,10.54439
9.778428,44.515482,33.517156,166.994225,10.534662
9.79783,44.53502,33.61104,167.013745,10.554117
9.759026,43.987977,33.301219,164.993882,10.563844
9.739624,44.857381,33.939642,168.233464,10.515208
9.720223,45.668177,34.587451,171.063208,10.495753
9.729923,46.439896,35.385477,173.902718,10.486026
9.759026,46.224986,35.047492,173.092822,10.515208
9.739624,46.254291,35.131986,173.112342,10.515208
9.749325,46.918555,35.704688,175.610325,10.515208
9.759026,46.351979,35.225873,173.43435,10.524935
9.749325,46.586423,35.37609,174.214958,10.524935
